guns detected at: 2020-10-29 23:55:26.241558
guns detected at: 2020-10-29 23:55:26.294642
guns detected at: 2020-10-29 23:55:26.345564
guns detected at: 2020-10-29 23:55:26.395837
guns detected at: 2020-10-29 23:55:26.446404
guns detected at: 2020-10-29 23:55:26.500759
guns detected at: 2020-10-29 23:55:26.551779
guns detected at: 2020-10-29 23:55:26.609820
guns detected at: 2020-10-29 23:55:26.667821
guns detected at: 2020-10-29 23:55:26.720023
guns detected at: 2020-10-29 23:55:26.772511
guns detected at: 2020-10-29 23:55:26.826463
guns detected at: 2020-10-29 23:55:26.876895
guns detected at: 2020-10-29 23:55:26.928549
guns detected at: 2020-10-29 23:55:26.981486
guns detected at: 2020-10-29 23:55:27.035070
guns detected at: 2020-10-29 23:55:27.090772
guns detected at: 2020-10-29 23:55:27.144124
guns detected at: 2020-10-29 23:55:27.196075
guns detected at: 2020-10-29 23:55:27.249092
guns detected at: 2020-10-29 23:55:27.300638
guns detected at: 2020-10-29 23:55:27.352155
guns detected at: 2020-10-29 23:55:27.403653
guns detected at: 2020-10-29 23:55:27.456451
guns detected at: 2020-10-29 23:55:27.512161
guns detected at: 2020-10-29 23:55:27.573492
guns detected at: 2020-10-29 23:55:27.635083
guns detected at: 2020-10-29 23:55:27.691074
guns detected at: 2020-10-29 23:55:27.745952
guns detected at: 2020-10-29 23:55:27.799706
guns detected at: 2020-10-29 23:55:27.851921
guns detected at: 2020-10-29 23:55:27.904124
guns detected at: 2020-10-29 23:55:27.957280
guns detected at: 2020-10-29 23:55:28.010589
guns detected at: 2020-10-29 23:55:28.063667
guns detected at: 2020-10-29 23:55:28.118163
guns detected at: 2020-10-29 23:55:28.173536
guns detected at: 2020-10-29 23:55:28.226956
guns detected at: 2020-10-29 23:55:28.280159
guns detected at: 2020-10-29 23:55:28.334384
guns detected at: 2020-10-29 23:55:28.386407
guns detected at: 2020-10-29 23:55:28.438396
guns detected at: 2020-10-29 23:55:28.494077
guns detected at: 2020-10-29 23:55:28.550747
guns detected at: 2020-10-29 23:55:28.609239
guns detected at: 2020-10-29 23:55:28.660988
guns detected at: 2020-10-29 23:55:28.713833
guns detected at: 2020-10-29 23:55:28.768568
guns detected at: 2020-10-29 23:55:28.822670
guns detected at: 2020-10-29 23:55:28.877276
guns detected at: 2020-10-29 23:55:28.929246
guns detected at: 2020-10-29 23:55:28.981292
guns detected at: 2020-10-29 23:55:29.033009
guns detected at: 2020-10-29 23:55:29.083821
guns detected at: 2020-10-29 23:55:29.133935
guns detected at: 2020-10-29 23:55:29.184084
guns detected at: 2020-10-29 23:55:29.234435
guns detected at: 2020-10-29 23:55:29.284241
guns detected at: 2020-10-29 23:55:29.335009
guns detected at: 2020-10-29 23:55:29.386264
guns detected at: 2020-10-29 23:55:29.437430
guns detected at: 2020-10-29 23:55:29.497250
guns detected at: 2020-10-29 23:55:29.553150
guns detected at: 2020-10-29 23:55:29.610074
guns detected at: 2020-10-29 23:55:29.660292
guns detected at: 2020-10-29 23:55:29.710588
guns detected at: 2020-10-29 23:55:29.760651
guns detected at: 2020-10-29 23:55:29.810765
guns detected at: 2020-10-29 23:55:29.861638
guns detected at: 2020-10-29 23:55:29.916146
guns detected at: 2020-10-29 23:55:29.968378
guns detected at: 2020-10-29 23:55:30.019475
guns detected at: 2020-10-29 23:55:30.070738
guns detected at: 2020-10-29 23:55:30.123412
guns detected at: 2020-10-29 23:55:30.176394
guns detected at: 2020-10-29 23:55:30.229083
guns detected at: 2020-10-29 23:55:30.284686
guns detected at: 2020-10-29 23:55:30.340109
guns detected at: 2020-10-29 23:55:30.395063
guns detected at: 2020-10-29 23:55:30.454106
guns detected at: 2020-10-29 23:55:30.515191
guns detected at: 2020-10-29 23:55:30.567178
guns detected at: 2020-10-29 23:55:30.626013
guns detected at: 2020-10-29 23:55:30.678796
guns detected at: 2020-10-29 23:55:30.731671
guns detected at: 2020-10-29 23:55:30.784452
guns detected at: 2020-10-29 23:55:30.838552
guns detected at: 2020-10-29 23:55:30.890696
guns detected at: 2020-10-29 23:55:30.942496
guns detected at: 2020-10-29 23:55:30.995777
guns detected at: 2020-10-29 23:55:31.049695
guns detected at: 2020-10-29 23:55:31.102629
guns detected at: 2020-10-29 23:55:31.155221
guns detected at: 2020-10-29 23:55:31.207603
guns detected at: 2020-10-29 23:55:31.260430
guns detected at: 2020-10-29 23:55:31.313110
guns detected at: 2020-10-29 23:55:31.363893
guns detected at: 2020-10-29 23:55:31.415771
guns detected at: 2020-10-29 23:55:31.470011
guns detected at: 2020-10-29 23:55:31.530016
guns detected at: 2020-10-29 23:55:31.582726
guns detected at: 2020-10-29 23:55:31.641548
guns detected at: 2020-10-29 23:55:31.695647
guns detected at: 2020-10-29 23:55:31.748003
guns detected at: 2020-10-29 23:55:31.800992
guns detected at: 2020-10-29 23:55:31.853191
guns detected at: 2020-10-29 23:55:31.906071
guns detected at: 2020-10-29 23:55:31.960331
guns detected at: 2020-10-29 23:55:32.014509
guns detected at: 2020-10-29 23:55:32.071072
guns detected at: 2020-10-29 23:55:32.123162
guns detected at: 2020-10-29 23:55:32.177698
guns detected at: 2020-10-29 23:55:32.231954
guns detected at: 2020-10-29 23:55:32.286161
guns detected at: 2020-10-29 23:55:32.339913
guns detected at: 2020-10-29 23:55:32.392746
guns detected at: 2020-10-29 23:55:32.446650
guns detected at: 2020-10-29 23:55:32.504046
guns detected at: 2020-10-29 23:55:32.555647
guns detected at: 2020-10-29 23:55:32.613760
guns detected at: 2020-10-29 23:55:32.667391
guns detected at: 2020-10-29 23:55:32.721472
guns detected at: 2020-10-29 23:55:32.774364
guns detected at: 2020-10-29 23:55:32.827899
guns detected at: 2020-10-29 23:55:32.879976
guns detected at: 2020-10-29 23:55:32.933595
guns detected at: 2020-10-29 23:55:32.985807
guns detected at: 2020-10-29 23:55:33.038258
guns detected at: 2020-10-29 23:55:33.091430
guns detected at: 2020-10-29 23:55:33.146779
guns detected at: 2020-10-29 23:55:33.200313
guns detected at: 2020-10-29 23:55:33.254073
guns detected at: 2020-10-29 23:55:33.306618
guns detected at: 2020-10-29 23:55:33.359994
guns detected at: 2020-10-29 23:55:33.413320
guns detected at: 2020-10-29 23:55:33.467186
guns detected at: 2020-10-29 23:55:33.524405
guns detected at: 2020-10-29 23:55:33.577456
guns detected at: 2020-10-29 23:55:33.636505
guns detected at: 2020-10-29 23:55:33.692783
guns detected at: 2020-10-29 23:55:33.745684
guns detected at: 2020-10-29 23:55:33.799374
guns detected at: 2020-10-29 23:55:33.852036
guns detected at: 2020-10-29 23:55:33.906570
guns detected at: 2020-10-29 23:55:33.959086
guns detected at: 2020-10-29 23:55:34.009211
guns detected at: 2020-10-29 23:55:34.059173
guns detected at: 2020-10-29 23:55:34.109850
guns detected at: 2020-10-29 23:55:34.160268
guns detected at: 2020-10-29 23:55:34.212859
guns detected at: 2020-10-29 23:55:34.264550
guns detected at: 2020-10-29 23:55:34.316274
guns detected at: 2020-10-29 23:55:34.369419
guns detected at: 2020-10-29 23:55:34.423327
guns detected at: 2020-10-29 23:55:34.482324
guns detected at: 2020-10-29 23:55:34.535689
guns detected at: 2020-10-29 23:55:34.586770
guns detected at: 2020-10-29 23:55:34.643545
guns detected at: 2020-10-29 23:55:34.694648
guns detected at: 2020-10-29 23:55:34.746042
guns detected at: 2020-10-29 23:55:34.800171
guns detected at: 2020-10-29 23:55:34.853511
guns detected at: 2020-10-29 23:55:34.905189
guns detected at: 2020-10-29 23:55:34.955985
guns detected at: 2020-10-29 23:55:35.008605
guns detected at: 2020-10-29 23:55:35.058490
guns detected at: 2020-10-29 23:55:35.111110
guns detected at: 2020-10-29 23:55:35.161984
guns detected at: 2020-10-29 23:55:35.213173
guns detected at: 2020-10-29 23:55:35.263694
guns detected at: 2020-10-29 23:55:35.313895
guns detected at: 2020-10-29 23:55:35.365062
guns detected at: 2020-10-29 23:55:35.416942
guns detected at: 2020-10-29 23:55:35.470139
guns detected at: 2020-10-29 23:55:35.524617
guns detected at: 2020-10-29 23:55:35.576555
guns detected at: 2020-10-29 23:55:35.627462
guns detected at: 2020-10-29 23:55:35.683437
guns detected at: 2020-10-29 23:55:35.735217
guns detected at: 2020-10-29 23:55:35.786576
guns detected at: 2020-10-29 23:55:35.837499
guns detected at: 2020-10-29 23:55:35.888991
guns detected at: 2020-10-29 23:55:35.940038
guns detected at: 2020-10-29 23:55:35.991119
guns detected at: 2020-10-29 23:55:36.041540
guns detected at: 2020-10-29 23:55:36.096370
guns detected at: 2020-10-29 23:55:36.147967
guns detected at: 2020-10-29 23:55:36.198952
guns detected at: 2020-10-29 23:55:36.251293
guns detected at: 2020-10-29 23:55:36.302580
guns detected at: 2020-10-29 23:55:36.357302
guns detected at: 2020-10-29 23:55:36.408472
guns detected at: 2020-10-29 23:55:36.460004
guns detected at: 2020-10-29 23:55:36.516494
guns detected at: 2020-10-29 23:55:36.567962
guns detected at: 2020-10-29 23:55:36.619366
guns detected at: 2020-10-29 23:55:36.675174
guns detected at: 2020-10-29 23:55:36.728240
guns detected at: 2020-10-29 23:55:36.778054
guns detected at: 2020-10-29 23:55:36.829002
guns detected at: 2020-10-29 23:55:36.878251
guns detected at: 2020-10-29 23:55:36.930125
guns detected at: 2020-10-29 23:55:36.982572
guns detected at: 2020-10-29 23:55:37.037510
guns detected at: 2020-10-29 23:55:37.092051
guns detected at: 2020-10-29 23:55:37.144508
guns detected at: 2020-10-29 23:55:37.196558
guns detected at: 2020-10-29 23:55:37.247315
guns detected at: 2020-10-29 23:55:37.298555
guns detected at: 2020-10-29 23:55:37.350289
guns detected at: 2020-10-29 23:55:37.402315
guns detected at: 2020-10-29 23:55:37.455829
guns detected at: 2020-10-29 23:55:37.516440
guns detected at: 2020-10-29 23:55:37.568707
guns detected at: 2020-10-29 23:55:37.620587
guns detected at: 2020-10-29 23:55:37.676793
guns detected at: 2020-10-29 23:55:37.727826
guns detected at: 2020-10-29 23:55:37.779903
guns detected at: 2020-10-29 23:55:37.833641
guns detected at: 2020-10-29 23:55:37.887309
guns detected at: 2020-10-29 23:55:37.940850
guns detected at: 2020-10-29 23:55:37.993721
guns detected at: 2020-10-29 23:55:38.044871
guns detected at: 2020-10-29 23:55:38.096875
guns detected at: 2020-10-29 23:55:38.148064
guns detected at: 2020-10-29 23:55:38.200313
guns detected at: 2020-10-29 23:55:38.253550
guns detected at: 2020-10-29 23:55:38.307661
guns detected at: 2020-10-29 23:55:38.359422
guns detected at: 2020-10-29 23:55:38.413672
guns detected at: 2020-10-29 23:55:38.464430
guns detected at: 2020-10-29 23:55:38.522854
guns detected at: 2020-10-29 23:55:38.579079
guns detected at: 2020-10-29 23:55:38.633474
guns detected at: 2020-10-29 23:55:38.692189
guns detected at: 2020-10-29 23:55:38.746681
guns detected at: 2020-10-29 23:55:38.800092
guns detected at: 2020-10-29 23:55:38.852546
guns detected at: 2020-10-29 23:55:38.905263
guns detected at: 2020-10-29 23:55:38.957589
guns detected at: 2020-10-29 23:55:39.010580
guns detected at: 2020-10-29 23:55:39.064336
guns detected at: 2020-10-29 23:55:39.119156
guns detected at: 2020-10-29 23:55:39.172983
guns detected at: 2020-10-29 23:55:39.228248
guns detected at: 2020-10-29 23:55:39.284587
guns detected at: 2020-10-29 23:55:39.336336
guns detected at: 2020-10-29 23:55:39.388343
guns detected at: 2020-10-29 23:55:39.440709
guns detected at: 2020-10-29 23:55:39.499138
guns detected at: 2020-10-29 23:55:39.551132
guns detected at: 2020-10-29 23:55:39.604518
guns detected at: 2020-10-29 23:55:39.663972
guns detected at: 2020-10-29 23:55:39.717875
guns detected at: 2020-10-29 23:55:39.771723
guns detected at: 2020-10-29 23:55:39.823452
guns detected at: 2020-10-29 23:55:39.875781
guns detected at: 2020-10-29 23:55:39.930205
guns detected at: 2020-10-29 23:55:39.984846
guns detected at: 2020-10-29 23:55:40.040367
guns detected at: 2020-10-29 23:55:40.095814
guns detected at: 2020-10-29 23:55:40.148701
guns detected at: 2020-10-29 23:55:40.201448
guns detected at: 2020-10-29 23:55:40.252521
guns detected at: 2020-10-29 23:55:40.306823
guns detected at: 2020-10-29 23:55:40.358347
guns detected at: 2020-10-29 23:55:40.409942
guns detected at: 2020-10-29 23:55:40.461902
guns detected at: 2020-10-29 23:55:40.519415
guns detected at: 2020-10-29 23:55:40.573571
guns detected at: 2020-10-29 23:55:40.627880
guns detected at: 2020-10-29 23:55:40.685066
guns detected at: 2020-10-29 23:55:40.737546
guns detected at: 2020-10-29 23:55:40.792193
guns detected at: 2020-10-29 23:55:40.845172
guns detected at: 2020-10-29 23:55:40.897521
guns detected at: 2020-10-29 23:55:40.949424
guns detected at: 2020-10-29 23:55:41.002940
guns detected at: 2020-10-29 23:55:41.060554
guns detected at: 2020-10-29 23:55:41.115047
guns detected at: 2020-10-29 23:55:41.168911
guns detected at: 2020-10-29 23:55:41.223038
guns detected at: 2020-10-29 23:55:41.277780
guns detected at: 2020-10-29 23:55:41.331069
guns detected at: 2020-10-29 23:55:41.382772
guns detected at: 2020-10-29 23:55:41.436517
guns detected at: 2020-10-29 23:55:41.498635
guns detected at: 2020-10-29 23:55:41.553409
guns detected at: 2020-10-29 23:55:41.608607
guns detected at: 2020-10-29 23:55:41.665699
guns detected at: 2020-10-29 23:55:41.729515
guns detected at: 2020-10-29 23:55:41.783896
guns detected at: 2020-10-29 23:55:41.837642
guns detected at: 2020-10-29 23:55:41.891551
guns detected at: 2020-10-29 23:55:41.945691
guns detected at: 2020-10-29 23:55:42.003184
guns detected at: 2020-10-29 23:55:42.056300
guns detected at: 2020-10-29 23:55:42.109597
guns detected at: 2020-10-29 23:55:42.163274
guns detected at: 2020-10-29 23:55:42.219951
guns detected at: 2020-10-29 23:55:42.279898
guns detected at: 2020-10-29 23:55:42.333122
guns detected at: 2020-10-29 23:55:42.384506
guns detected at: 2020-10-29 23:55:42.435844
guns detected at: 2020-10-29 23:55:42.494491
guns detected at: 2020-10-29 23:55:42.547422
guns detected at: 2020-10-29 23:55:42.600951
guns detected at: 2020-10-29 23:55:42.654278
guns detected at: 2020-10-29 23:55:42.711423
guns detected at: 2020-10-29 23:55:42.762925
guns detected at: 2020-10-29 23:55:42.814775
guns detected at: 2020-10-29 23:55:42.866848
guns detected at: 2020-10-29 23:55:42.918566
guns detected at: 2020-10-29 23:55:42.969654
guns detected at: 2020-10-29 23:55:43.021998
guns detected at: 2020-10-29 23:55:43.073272
guns detected at: 2020-10-29 23:55:43.125716
guns detected at: 2020-10-29 23:55:43.177636
guns detected at: 2020-10-29 23:55:43.229017
guns detected at: 2020-10-29 23:55:43.281479
guns detected at: 2020-10-29 23:55:43.332328
guns detected at: 2020-10-29 23:55:43.384548
guns detected at: 2020-10-29 23:55:43.435499
guns detected at: 2020-10-29 23:55:43.492905
guns detected at: 2020-10-29 23:55:43.543384
guns detected at: 2020-10-29 23:55:43.594367
guns detected at: 2020-10-29 23:55:43.645782
guns detected at: 2020-10-29 23:55:43.701581
guns detected at: 2020-10-29 23:55:43.751214
